class,petal_length,petal_width
SETOSA,1.4,0.2
SETOSA,1.4,0.2
SETOSA,1.3,0.2
SETOSA,1.5,0.2
SETOSA,1.4,0.2
SETOSA,1.7,0.4
SETOSA,1.4,0.3
SETOSA,1.5,0.2
SETOSA,1.4,0.2
SETOSA,1.5,0.1
SETOSA,1.5,0.2
SETOSA,1.6,0.2
SETOSA,1.4,0.1
SETOSA,1.1,0.1
SETOSA,1.2,0.2
SETOSA,1.5,0.4
SETOSA,1.3,0.4
SETOSA,1.4,0.3
SETOSA,1.7,0.3
SETOSA,1.5,0.3
SETOSA,1.7,0.2
SETOSA,1.5,0.4
SETOSA,1,0.2
SETOSA,1.7,0.5
SETOSA,1.9,0.2
SETOSA,1.6,0.2
SETOSA,1.6,0.4
SETOSA,1.5,0.2
SETOSA,1.4,0.2
SETOSA,1.6,0.2
SETOSA,1.6,0.2
SETOSA,1.5,0.4
SETOSA,1.5,0.1
SETOSA,1.4,0.2
SETOSA,1.5,0.1
SETOSA,1.2,0.2
SETOSA,1.3,0.2
SETOSA,1.5,0.1
SETOSA,1.3,0.2
SETOSA,1.5,0.2
SETOSA,1.3,0.3
SETOSA,1.3,0.3
SETOSA,1.3,0.2
SETOSA,1.6,0.6
SETOSA,1.9,0.4
SETOSA,1.4,0.3
SETOSA,1.6,0.2
SETOSA,1.4,0.2
SETOSA,1.5,0.2
SETOSA,1.4,0.2
VERSICOLOR,4.7,1.4
VERSICOLOR,4.5,1.5
VERSICOLOR,4.9,1.5
VERSICOLOR,4,1.3
VERSICOLOR,4.6,1.5
VERSICOLOR,4.5,1.3
VERSICOLOR,4.7,1.6
VERSICOLOR,3.3,1
VERSICOLOR,4.6,1.3
VERSICOLOR,3.9,1.4
VERSICOLOR,3.5,1
VERSICOLOR,4.2,1.5
VERSICOLOR,4,1
VERSICOLOR,4.7,1.4
VERSICOLOR,3.6,1.3
VERSICOLOR,4.4,1.4
VERSICOLOR,4.5,1.5
VERSICOLOR,4.1,1
VERSICOLOR,4.5,1.5
VERSICOLOR,3.9,1.1
VERSICOLOR,4.8,1.8
VERSICOLOR,4,1.3
VERSICOLOR,4.9,1.5
VERSICOLOR,4.7,1.2
VERSICOLOR,4.3,1.3
VERSICOLOR,4.4,1.4
VERSICOLOR,4.8,1.4
VERSICOLOR,5,1.7
VERSICOLOR,4.5,1.5
VERSICOLOR,3.5,1
VERSICOLOR,3.8,1.1
VERSICOLOR,3.7,1
VERSICOLOR,3.9,1.2
VERSICOLOR,5.1,1.6
VERSICOLOR,4.5,1.5
VERSICOLOR,4.5,1.6
VERSICOLOR,4.7,1.5
VERSICOLOR,4.4,1.3
VERSICOLOR,4.1,1.3
VERSICOLOR,4,1.3
VERSICOLOR,4.4,1.2
VERSICOLOR,4.6,1.4
VERSICOLOR,4,1.2
VERSICOLOR,3.3,1
VERSICOLOR,4.2,1.3
VERSICOLOR,4.2,1.2
VERSICOLOR,4.2,1.3
VERSICOLOR,4.3,1.3
VERSICOLOR,3,1.1
VERSICOLOR,4.1,1.3
VIRGINICA,6,2.5
VIRGINICA,5.1,1.9
VIRGINICA,5.9,2.1
VIRGINICA,5.6,1.8
VIRGINICA,5.8,2.2
VIRGINICA,6.6,2.1
VIRGINICA,4.5,1.7
VIRGINICA,6.3,1.8
VIRGINICA,5.8,1.8
VIRGINICA,6.1,2.5
VIRGINICA,5.1,2
VIRGINICA,5.3,1.9
VIRGINICA,5.5,2.1
VIRGINICA,5,2
VIRGINICA,5.1,2.4
VIRGINICA,5.3,2.3
VIRGINICA,5.5,1.8
VIRGINICA,6.7,2.2
VIRGINICA,6.9,2.3
VIRGINICA,5,1.5
VIRGINICA,5.7,2.3
VIRGINICA,4.9,2
VIRGINICA,6.7,2
VIRGINICA,4.9,1.8
VIRGINICA,5.7,2.1
VIRGINICA,6,1.8
VIRGINICA,4.8,1.8
VIRGINICA,4.9,1.8
VIRGINICA,5.6,2.1
VIRGINICA,5.8,1.6
VIRGINICA,6.1,1.9
VIRGINICA,6.4,2
VIRGINICA,5.6,2.2
VIRGINICA,5.1,1.5
VIRGINICA,5.6,1.4
VIRGINICA,6.1,2.3
VIRGINICA,5.6,2.4
VIRGINICA,5.5,1.8
VIRGINICA,4.8,1.8
VIRGINICA,5.4,2.1
VIRGINICA,5.6,2.4
VIRGINICA,5.1,2.3
VIRGINICA,5.1,1.9
VIRGINICA,5.9,2.3
VIRGINICA,5.7,2.5
VIRGINICA,5.2,2.3
VIRGINICA,5,1.9
VIRGINICA,5.2,2
VIRGINICA,5.4,2.3
VIRGINICA,5.1,1.8
