y,x
1.87,0
2.63,1
2.89,2
3.71,3
3.85,4
4.61,5
4.92,6
5.34,7
6.12,8
6.38,9
7.15,10
7.23,11
8.09,12
8.31,13
9.18,14
9.67,15
9.84,16
10.72,17
10.89,18
11.34,19
12.15,20
12.68,21
12.87,22
13.59,23
14.12,24
14.73,25
14.91,26
15.68,27
15.84,28
16.72,29
16.89,30
17.34,31
18.15,32
18.28,33
18.87,34
19.59,35
20.12,36
20.48,37
20.89,38
21.67,39
21.84,40
22.72,41
22.89,42
23.34,43
24.15,44
24.28,45
24.87,46
25.59,47
25.84,48
26.72,49
26.89,50
27.34,51
28.15,52
28.28,53
28.87,54
29.59,55
29.84,56
30.72,57
30.89,58
31.34,59
32.15,60
32.28,61
32.87,62
33.59,63
33.84,64
34.72,65
34.89,66
35.34,67
36.15,68
36.28,69
36.87,70
37.59,71
37.84,72
38.72,73
38.89,74
39.34,75
40.15,76
40.28,77
40.87,78
41.59,79
41.84,80
42.72,81
42.89,82
43.34,83
44.15,84
44.28,85
44.87,86
45.59,87
45.84,88
46.72,89
46.89,90
47.34,91
48.15,92
48.28,93
48.87,94
49.59,95
49.84,96
50.72,97
50.89,98
51.34,99
52.15,100
